Evaluated at:,Effective:,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,24:00:00
1/2/2014 17:45:00,1/3/2014,96347,94393,93967,94595,97042,102493,110940,116649,117459,117112,116455,115214,113504,112037,110798,110483,113270,120312,122751,121745,120381,117850,113491,108353
1/2/2014 23:45:00,1/3/2014,96347,94393,93967,94595,97042,102493,110940,116649,117459,117112,116455,115214,113504,112037,110798,110483,113270,120312,122751,121745,120381,117850,113491,108353
1/3/2014 05:45:00,1/3/2014,100064,98620,98308,98786,101643,107324,116502,122266,122669,121921,120467,118340,116294,114427,112835,112706,115727,122281,125175,124338,122923,120330,115338,109717
1/3/2014 11:45:00,1/3/2014,100064,98620,98308,98786,101643,107324,115170,120153,122018,122295,121290,120014,117917,116090,114495,113852,116078,122478,125368,124263,122602,119763,115188,109985
1/3/2014 17:45:00,1/3/2014,100064,98620,98308,98786,101643,107324,115170,120153,122018,122295,121290,120014,118697,117267,115139,114519,117463,125739,128533,127371,125717,122871,118262,112992
1/3/2014 23:45:00,1/3/2014,100064,98620,98308,98786,101643,107324,115170,120153,122018,122295,121290,120014,118697,117267,115139,114519,117463,125739,128058,127073,125419,123044,118284,113313
1/3/2014 05:45:00,1/4/2014,104080,101647,100503,100247,101018,102736,105346,108358,110098,109796,108087,105414,102418,99709,97670,97321,99984,107191,110040,109247,108244,105932,102132,97463
1/3/2014 11:45:00,1/4/2014,104080,101647,100503,100247,101018,102736,105346,108358,110098,109796,108087,105414,102418,99709,97670,97321,99984,107191,110040,109247,108244,105932,102132,97463
1/3/2014 17:45:00,1/4/2014,106052,103688,102579,102347,103161,104887,107694,110686,112356,112030,110324,107648,103850,101168,99144,98815,101365,108326,111079,110147,108940,106459,102494,97700
1/3/2014 23:45:00,1/4/2014,107523,105277,104179,103931,104734,106392,108962,112033,113562,113150,111573,108962,105170,102561,100551,100190,102597,109224,112171,111197,109813,107251,103232,98482
1/4/2014 05:45:00,1/4/2014,110110,107193,105951,106600,107174,108728,111356,114225,115324,114636,112783,109791,105885,103119,101018,100646,103025,109518,112462,111380,109892,107301,103250,98470
1/4/2014 11:45:00,1/4/2014,110110,107193,105951,106600,107174,108728,111607,115141,116012,115050,112029,109773,106327,103486,101213,100583,102472,108905,112187,111295,109856,107253,103359,98824
1/4/2014 17:45:00,1/4/2014,110110,107193,105951,106600,107174,108728,111607,115141,116012,115050,112029,108809,105105,102148,99672,99032,101958,108086,111566,110890,109694,107263,103443,98958
1/4/2014 23:45:00,1/4/2014,110110,107193,105951,106600,107174,108728,111607,115141,116012,115050,112029,108809,105105,102148,99672,99032,101958,109873,112589,111195,109830,107377,103692,98846
1/4/2014 05:45:00,1/5/2014,93058,90441,89151,88718,88970,90044,91810,94532,97280,98705,98126,97084,95902,94503,93408,93558,96224,102431,104959,104230,103423,100684,96325,91348
